"","ID","Group_type","Datetime","sampperiod","age","group"
"11","173","LB",2003-04-28 09:56:00,1,30,11
"12","412","LB",2003-04-29 16:37:00,1,57,12
"13","506","LB",2003-05-01 12:01:00,1,30,13
"14","115","LB",2003-05-10 07:29:00,1,44,14
"15","371","B",2003-05-11 07:57:00,1,30,15
"16","796","LB",2003-05-20 09:00:00,1,30,16
"21","300","LB",2003-05-23 07:30:00,1,40,18
"23","508","B",2003-05-25 10:41:00,1,20,20
"24","583","B",2003-05-25 10:41:00,1,20,20
"25","675","B",2003-05-25 10:41:00,1,20,20
"26","833","B",2003-05-25 10:41:00,1,20,20
"27","948","B",2003-05-25 10:41:00,1,30,20
"28","927","LB",2003-05-25 11:04:00,1,30,21
"29","131","LB",2003-05-25 16:00:00,1,40,22
"30","131","LB",2003-05-26 11:00:00,1,40,23
"33","712","LB",2003-06-04 17:30:00,1,30,26
"36","832","B",2003-06-16 10:01:00,1,20,29
"37","941","B",2003-06-16 10:01:00,1,49,29
"46","412","LB",2003-06-24 10:44:00,1,57,34
"50","342","B",2003-07-01 16:52:00,1,40,37
"51","608","B",2003-07-01 16:52:00,1,40,37
"52","790","B",2003-07-01 16:52:00,1,30,37
"53","796","B",2003-07-01 16:52:00,1,30,37
"54","948","B",2003-07-01 16:52:00,1,30,37
"55","506","LB",2003-07-03 16:23:00,1,30,38
"59","753","LB",2003-07-06 14:16:00,1,20,41
"60","119","B",2003-07-06 14:30:00,1,40,42
"61","407","B",2003-07-06 14:30:00,1,30,42
"62","941","B",2003-07-06 14:30:00,1,49,42
"63","435","B",2003-07-06 15:18:00,1,20,43
"64","750","B",2003-07-06 15:18:00,1,20,43
"66","506","B",2003-07-08 15:57:00,1,30,45
"69","76","LB",2003-07-20 10:25:00,1,40,47
"71","477","B",2003-07-27 09:45:00,1,30,49
"72","685","B",2003-08-01 12:01:00,1,30,50
"73","506","B",2003-08-05 07:14:00,1,30,51
"75","319","B",2003-08-06 16:48:00,1,57,53
"76","506","B",2003-08-06 16:48:00,1,30,53
"77","477","LB",2003-08-08 13:25:00,1,30,54
"79","17","B",2003-08-09 12:20:00,1,20,56
"80","91","B",2003-08-09 12:20:00,1,20,56
"81","477","B",2003-08-09 12:20:00,1,30,56
"84","666","LB",2003-08-10 11:00:00,1,30,59
"85","17","B",2003-08-11 08:00:00,1,20,60
"86","477","B",2003-08-11 08:00:00,1,30,60
"87","666","B",2003-08-11 08:00:00,1,30,60
"90","816","B",2003-08-16 16:00:00,1,30,62
"91","796","B",2003-08-17 12:00:00,1,30,63
"92","524","LB",2003-08-20 07:30:00,1,57,64
"94","203","B",2003-08-21 16:40:00,1,20,66
"95","236","B",2003-08-21 16:40:00,1,20,66
"96","170","B",2003-08-29 12:01:00,1,40,67
"97","795","B",2003-08-29 12:01:00,1,20,67
"98","845","B",2003-08-29 12:01:00,1,30,67
"100","506","B",2003-08-31 12:01:00,1,30,69
"103","427","LB",2003-09-13 12:01:00,1,40,72
"104","845","LB",2003-09-13 12:01:00,1,30,72
"105","407","B",2003-10-04 12:01:00,1,30,73
"107","477","LB",2003-10-15 10:15:00,1,30,75
"108","871","B",2003-10-15 12:05:00,1,20,76
"109","115","LB",2003-10-16 17:00:00,1,44,77
"110","104","LB",2003-10-17 12:10:00,1,40,78
"111","170","B",2003-10-18 10:00:00,1,40,79
"112","514","B",2003-10-20 15:00:00,1,20,80
"113","170","B",2003-10-20 17:08:00,1,40,81
"114","211","B",2003-10-20 17:08:00,1,20,81
"115","102","B",2003-10-21 15:40:00,1,40,82
"116","418","B",2003-10-21 15:40:00,1,20,82
"117","837","B",2003-10-21 15:40:00,1,30,82
"119","796","B",2003-10-23 07:16:00,1,30,84
"120","220","B",2003-10-23 15:30:00,1,30,85
"121","796","B",2003-10-23 15:30:00,1,30,85
"124","874","LB",2003-10-25 09:30:00,1,30,88
"125","335","B",2003-10-28 14:55:00,1,40,89
"126","17","LB",2003-10-29 07:02:00,1,20,90
"129","824","LB",2003-10-30 09:43:00,1,40,93
"131","243","B",2003-10-31 08:05:00,1,30,95
"132","796","B",2003-10-31 08:05:00,1,30,95
"133","948","B",2003-10-31 08:05:00,1,30,95
"134","586","LB",2003-10-31 11:50:00,1,36,96
"135","444","B",2003-11-04 06:12:00,1,40,97
"136","777","B",2003-11-04 06:12:00,1,20,97
"137","778","B",2003-11-04 06:12:00,1,30,97
"140","444","LB",2003-11-09 08:34:00,1,40,100
"141","115","B",2003-11-09 12:30:00,1,44,101
"142","893","B",2003-11-09 12:30:00,1,30,101
"145","76","LB",2003-11-13 16:30:00,1,40,104
"147","456","B",2003-11-14 14:15:00,1,40,106
"148","772","B",2003-11-14 14:15:00,1,40,106
"149","397","B",2003-11-14 16:00:00,1,30,107
"150","718","B",2003-11-14 16:00:00,1,30,107
"151","349","B",2003-11-14 16:34:00,1,40,108
"152","406","B",2003-11-14 16:34:00,1,40,108
"153","647","B",2003-11-14 16:34:00,1,30,108
"154","170","B",2003-11-17 12:01:00,1,40,109
"157","76","LB",2003-11-18 11:10:00,1,40,112
"158","76","B",2003-11-19 05:48:00,1,40,113
"159","796","B",2003-11-19 05:48:00,1,30,113
"160","796","B",2003-11-19 18:45:00,1,30,114
"162","796","B",2003-11-20 08:50:00,1,30,116
"163","76","B",2003-11-20 08:50:00,1,40,116
"164","104","B",2003-11-20 10:37:00,1,40,117
"165","263","B",2003-11-20 10:37:00,1,44,117
"166","459","B",2003-11-20 10:37:00,1,40,117
"167","768","B",2003-11-20 10:37:00,1,30,117
"168","170","B",2003-11-20 12:00:00,1,40,118
"169","542","B",2003-11-20 12:00:00,1,30,118
"170","830","B",2003-11-20 12:00:00,1,20,118
"171","170","B",2003-11-23 14:00:00,1,40,119
"172","534","LB",2003-11-26 16:10:00,1,30,120
"174","456","B",2003-12-04 07:05:00,1,40,122
"177","86","LB",2003-12-04 15:30:00,1,20,124
"178","430","B",2003-12-07 06:45:00,1,30,125
"179","244","B",2003-12-15 12:00:00,1,40,126
"180","420","B",2003-12-15 12:00:00,1,20,126
"181","670","B",2003-12-15 12:00:00,1,20,126
